epoch,lr,train_loss,val_loss,val_auc,val_auprc,val_f1,val_sensitivity,val_specificity
1,2.8e-05,1.2436526892702047,1.2131163723379832,0.6583979328165375,0.7370550839449248,0.10101010101010101,0.05555555555555555,0.9069767441860465
2,4.6e-05,1.2090461943634274,1.2030179633131495,0.6178294573643411,0.753949158425842,0.7351351351351352,0.7555555555555555,0.37209302325581395
3,6.4e-05,1.1949156074787364,1.1400450565733,0.6997416020671835,0.8037789146507255,0.821917808219178,1.0,0.09302325581395349
4,8.2e-05,1.163857270074208,1.1490710325806177,0.6696382428940569,0.8127185827955402,0.8186046511627907,0.9777777777777777,0.13953488372093023
5,0.0001,1.1604863290977896,1.124410827838337,0.7609819121447029,0.8350266861497029,0.8436018957345972,0.9888888888888889,0.2558139534883721
6,9.997266286704631e-05,1.1515232747264115,1.143664393358712,0.6903100775193799,0.7806710553690709,0.8202764976958525,0.9888888888888889,0.11627906976744186
7,9.989068136093873e-05,1.1232313050431837,1.148021818602617,0.7470284237726098,0.8511828519492544,0.8151658767772512,0.9555555555555556,0.18604651162790697
8,9.975414512725057e-05,1.1314495978018884,1.1625932627728846,0.6820413436692507,0.8103156667777808,0.8095238095238095,0.9444444444444444,0.18604651162790697
9,9.956320346634876e-05,1.0960858279011838,1.2607180573422279,0.7528423772609819,0.8364734280506889,0.6887417218543046,0.5777777777777777,0.7906976744186046
10,9.931806517013612e-05,1.1018602785807938,1.2175320051147194,0.6856589147286821,0.8154961503591585,0.8108108108108109,1.0,0.023255813953488372
11,9.901899829374047e-05,1.0898096680701412,1.153174793885935,0.7064599483204135,0.8189635835115584,0.7924528301886793,0.9333333333333333,0.11627906976744186
12,9.86663298624003e-05,1.106887755459038,1.1767452324753533,0.7319121447028424,0.8244448679889778,0.8054298642533937,0.9888888888888889,0.023255813953488372
13,9.826044551386744e-05,1.0835317090763594,1.1424853277625004,0.7122739018087856,0.8192669154162269,0.821917808219178,1.0,0.09302325581395349
14,9.780178907671789e-05,1.0774822237918489,1.151926781456228,0.7674418604651163,0.8855638071718444,0.8262910798122066,0.9777777777777777,0.18604651162790697
