epoch,lr,train_loss,val_loss,val_auc,val_auprc,val_f1,val_sensitivity,val_specificity,val_cpm,avg_grad_norm,skipped_steps
1,1.6000000000000004e-06,1.2076836235900308,1.2063871950848573,0.6416020671834626,0.7423596544987284,0.8071748878923767,1.0,0.0,0.30208333333333337,35.71223589641386,0
2,2.2000000000000005e-06,1.2037866918330282,1.199937911476632,0.5873385012919897,0.7234781391378502,0.8108108108108109,1.0,0.023255813953488372,0.2782738095238095,14.608619898637993,0
3,2.8000000000000007e-06,1.2008645592744611,1.1935586113954166,0.6815245478036176,0.7808311828974894,0.8071748878923767,1.0,0.0,0.2663690476190476,11.467376669301498,0
4,3.4000000000000005e-06,1.2485247130584332,1.1947229144864477,0.7067183462532299,0.7939680840429638,0.8191489361702128,0.8555555555555555,0.5116279069767442,0.2619047619047619,16.112133046044814,0
5,4.000000000000001e-06,1.2386668426773253,1.3139787582733724,0.6931524547803618,0.8133475537392856,0.0,0.0,1.0,0.29836309523809523,13.77755659609792,0
6,4.6e-06,1.2253542872456684,1.2045244978742173,0.6611111111111112,0.7838718132687322,0.7981651376146789,0.9666666666666667,0.046511627906976744,0.31101190476190477,11.12646865169957,0
7,5.199999999999999e-06,1.2392620515277215,1.181326756184347,0.5188630490956072,0.7042750759253775,0.8071748878923767,1.0,0.0,0.3132440476190476,10.69749849954384,0
8,5.7999999999999995e-06,1.2147334242019667,1.1998001979752535,0.7089147286821705,0.8340036964048723,0.5797101449275363,0.4444444444444444,0.813953488372093,0.31324404761904756,9.681540496265791,0
9,6.4e-06,1.2006857273894689,1.2532980697557885,0.6037467700258398,0.7811007119845752,0.6375,0.5666666666666667,0.5581395348837209,0.328125,9.067694079843815,0
10,7e-06,1.2081459401050199,1.1919668871465179,0.5686046511627907,0.7476118551387992,0.7647058823529411,0.8666666666666667,0.16279069767441862,0.3407738095238095,8.653756583476003,0
11,7.599999999999999e-06,1.1991016732254915,1.2014444609497617,0.5934108527131783,0.7706730102386578,0.7474747474747475,0.8222222222222222,0.20930232558139536,0.337797619047619,8.236700096862979,0
12,8.2e-06,1.1821405741829893,1.3074812414703705,0.6161498708010336,0.7678680949884049,0.12244897959183673,0.06666666666666667,0.9534883720930233,0.3251488095238095,7.561540714492695,0
13,8.8e-06,1.1996154188808617,1.1790941490600295,0.6440568475452196,0.7945070384856757,0.8090909090909091,0.9888888888888889,0.046511627906976744,0.3363095238095238,8.043160478381134,0
14,9.4e-06,1.2044365041400922,1.299114701777544,0.5147286821705427,0.732633479329645,0.4094488188976378,0.28888888888888886,0.7441860465116279,0.3266369047619047,7.328136948883694,0
15,1e-05,1.1814148040538246,1.2439622905625858,0.5249354005167959,0.7152373341065463,0.7751196172248804,0.9,0.11627906976744186,0.3162202380952381,7.034613665866081,0
16,9.99864620589731e-06,1.1726487824184757,1.192901053172267,0.6313953488372093,0.7943573064532748,0.8036529680365296,0.9777777777777777,0.046511627906976744,0.3400297619047619,6.975428290444243,0
17,9.994585556692624e-06,1.1791171136483873,1.179190155966228,0.591343669250646,0.7747400968955506,0.8,0.9333333333333333,0.16279069767441862,0.35044642857142855,7.077702918837749,1
18,9.987820251299121e-06,1.2156368213931137,1.2321762579936744,0.5943152454780362,0.7753089580718082,0.581081081081081,0.4777777777777778,0.6511627906976745,0.3638392857142857,7.0333925259884476,0
19,9.978353953249023e-06,1.1879380070161234,1.2112803471376186,0.6408268733850129,0.7940217760503215,0.8,0.9777777777777777,0.023255813953488372,0.33854166666666663,7.133176866888679,0
20,9.966191788709716e-06,1.192336141650965,1.3435732202976396,0.5344961240310079,0.7279088169865027,0.4888888888888889,0.36666666666666664,0.7209302325581395,0.3311011904761905,7.478824896046668,1
21,9.951340343707854e-06,1.1873810109775718,1.188035374326085,0.5821705426356589,0.7550355807024743,0.7902439024390244,0.9,0.20930232558139536,0.3511904761904762,7.004225945215662,0
22,9.933807660562898e-06,1.1864478715003812,1.22329652383542,0.5512919896640827,0.7526703232322207,0.7135135135135136,0.7333333333333333,0.32558139534883723,0.3392857142857143,7.332227891988832,0
23,9.913603233532068e-06,1.1692146459142922,1.2380701221509318,0.5762273901808787,0.7687040005507029,0.6075949367088608,0.5333333333333333,0.5348837209302325,0.3601190476190476,6.638594686904578,1
