epoch,lr,train_loss,val_loss,val_auc,val_auprc,val_f1,val_sensitivity,val_specificity
1,2.8e-05,0.36637497843893085,0.10380919254436032,0.9981912144702842,0.9991392997786597,0.9782608695652174,1.0,0.9069767441860465
2,4.6e-05,0.11859665207749306,0.0742646147699767,0.9987080103359173,0.9993756225956276,0.972972972972973,1.0,0.8837209302325582
3,6.4e-05,0.09473239152534371,0.07622174745229371,0.9987080103359173,0.9993756225956276,0.972972972972973,1.0,0.8837209302325582
4,8.2e-05,0.10097759167188994,0.07193691114836795,0.9989664082687338,0.999503336516445,0.972972972972973,1.0,0.8837209302325582
5,0.0001,0.11544721091074528,0.07010141550720823,0.9984496124031007,0.9992464236292193,0.9836065573770492,1.0,0.9302325581395349
6,9.997266286704631e-05,0.10418035503176869,0.07609562578218654,0.9987080103359173,0.9993756225956277,0.9782608695652174,1.0,0.9069767441860465
7,9.989068136093873e-05,0.10777783228283236,0.08146977116849108,0.9984496124031007,0.9992464236292193,0.972972972972973,1.0,0.8837209302325582
8,9.975414512725057e-05,0.10099116529504969,0.07108717868269897,0.9984496124031007,0.9992464236292193,0.9782608695652174,1.0,0.9069767441860465
9,9.956320346634876e-05,0.0916498470943559,0.07244132737930245,0.9987080103359173,0.9993756225956276,0.9782608695652174,1.0,0.9069767441860465
10,9.931806517013612e-05,0.09868571164825857,0.07757424559409613,0.9984496124031007,0.9992464236292193,0.9836065573770492,1.0,0.9302325581395349
11,9.901899829374047e-05,0.11142525879680876,0.07478086250833656,0.9984496124031007,0.9992464236292193,0.9782608695652174,1.0,0.9069767441860465
12,9.86663298624003e-05,0.10889291729955626,0.0703982936638481,0.9984496124031007,0.9992464236292192,0.972972972972973,1.0,0.8837209302325582
13,9.826044551386744e-05,0.10449452418503569,0.07141407981995922,0.9984496124031007,0.9992464236292194,0.9782608695652174,1.0,0.9069767441860465
14,9.780178907671789e-05,0.09660216471650256,0.06842551083180207,0.9984496124031007,0.9992464236292193,0.9782608695652174,1.0,0.9069767441860465
15,9.729086208503174e-05,0.10854154175936812,0.07304639959705812,0.9984496124031007,0.9992464236292193,0.9782608695652174,1.0,0.9069767441860465
16,9.672822322997305e-05,0.10651009979220208,0.08227483200360854,0.9987080103359173,0.9993756225956275,0.994475138121547,1.0,0.9767441860465116
17,9.611448774886926e-05,0.10796167795907227,0.07273328008015055,0.9987080103359173,0.9993756225956277,0.9782608695652174,1.0,0.9069767441860465
18,9.545032675245814e-05,0.09741811724221026,0.07892112934130727,0.9987080103359173,0.9993756225956275,0.967741935483871,1.0,0.8604651162790697
19,9.473646649103819e-05,0.11217766341331173,0.07006596069724721,0.9984496124031007,0.9992464236292193,0.9782608695652174,1.0,0.9069767441860465
