epoch,lr,train_loss,val_loss,val_auc,val_auprc,val_f1,val_sensitivity,val_specificity
1,2.8e-05,1.2050288667657951,1.1964561232878679,0.5856589147286821,0.7708923722080436,0.6815642458100558,0.6777777777777778,0.3488372093023256
2,4.6e-05,1.181037945720871,1.1654771753009776,0.6233850129198966,0.7508430298296324,0.7804878048780488,0.8888888888888888,0.18604651162790697
3,6.4e-05,1.134027952213811,1.2386072762882787,0.6338501291989664,0.8125244734531571,0.7474747474747475,0.8222222222222222,0.20930232558139536
4,8.2e-05,1.1266678583146106,1.1220356317096674,0.664470284237726,0.7874879851864462,0.7924528301886793,0.9333333333333333,0.11627906976744186
5,0.0001,1.125901021920452,1.1756354629252197,0.6817829457364342,0.8240838197094714,0.7461139896373057,0.8,0.27906976744186046
6,9.997266286704631e-05,1.1008029996455269,1.095734204178582,0.8060723514211887,0.8949383917964455,0.8324873096446701,0.9111111111111111,0.4186046511627907
7,9.989068136093873e-05,0.9754516378845735,0.7795680491437682,0.8912144702842377,0.9516011935010403,0.8529411764705882,0.9666666666666667,0.37209302325581395
8,9.975414512725057e-05,0.7853940932341491,0.7586714809797241,0.9540051679586563,0.9799613727955521,0.8490566037735849,1.0,0.2558139534883721
9,9.956320346634876e-05,0.5985129391964344,0.41636432021660097,0.9806201550387598,0.9923212125790061,0.9456521739130435,0.9666666666666667,0.8372093023255814
10,9.931806517013612e-05,0.5272028208863199,0.40892937816488717,0.985529715762274,0.9931369148831165,0.9278350515463918,1.0,0.6744186046511628
11,9.901899829374047e-05,0.47286351102659835,0.37924071611739807,0.9798449612403101,0.9910426016544582,0.9405405405405406,0.9666666666666667,0.813953488372093
12,9.86663298624003e-05,0.4059107846355968,0.2496665344841304,0.992377260981912,0.9964773566204154,0.967032967032967,0.9777777777777777,0.9069767441860465
13,9.826044551386744e-05,0.36064277017319346,0.338550402624117,0.9802325581395349,0.9917883154460332,0.9072164948453608,0.9777777777777777,0.627906976744186
14,9.780178907671789e-05,0.3215194700271047,0.32725245479954884,0.9644702842377261,0.9786757507785825,0.9354838709677419,0.9666666666666667,0.7906976744186046
15,9.729086208503174e-05,0.34352556327055134,0.21804147522730294,0.9931524547803616,0.9964871593320781,0.972972972972973,1.0,0.8837209302325582
16,9.672822322997305e-05,0.2812758495917279,0.18068144689010893,0.9945736434108527,0.997407230700796,0.972972972972973,1.0,0.8837209302325582
17,9.611448774886926e-05,0.2952231820763734,0.1803543959262603,0.9948320413436692,0.9974518582047025,0.9782608695652174,1.0,0.9069767441860465
