epoch,lr,train_loss,val_loss,val_auc,val_auprc,val_f1,val_sensitivity,val_specificity
1,2.8e-05,0.27852005554566744,0.08983070574341112,0.9896640826873385,0.9922385038230885,0.9836065573770492,1.0,0.9302325581395349
2,4.6e-05,0.14062252305404133,0.08537934525599315,0.9987080103359173,0.9992479086748104,0.9782608695652174,1.0,0.9069767441860465
3,6.4e-05,0.11585743680874948,0.0822663505976555,0.9984496124031007,0.9992479086748104,0.9782608695652174,1.0,0.9069767441860465
4,8.2e-05,0.12321341317476438,0.1063619466020229,0.9987080103359173,0.9992479086748104,0.9836065573770492,1.0,0.9302325581395349
5,0.0001,0.12347608442526986,0.07878017312443074,0.9984496124031007,0.9992464236292196,0.9782608695652174,1.0,0.9069767441860465
6,9.997266286704631e-05,0.12151222557635125,0.07556299836120699,0.9984496124031008,0.9992464236292196,0.972972972972973,1.0,0.8837209302325582
7,9.989068136093873e-05,0.11471347762304704,0.09334783075018306,0.9984496124031008,0.9992464236292194,0.9836065573770492,1.0,0.9302325581395349
8,9.975414512725057e-05,0.11604006331039385,0.08043773637964624,0.9984496124031007,0.9992464236292196,0.9836065573770492,1.0,0.9302325581395349
9,9.956320346634876e-05,0.11558165215049927,0.07534475506987796,0.9984496124031007,0.9992464236292193,0.9782608695652174,1.0,0.9069767441860465
10,9.931806517013612e-05,0.12157922848890942,0.07463044250089657,0.9984496124031007,0.9992464236292196,0.9782608695652174,1.0,0.9069767441860465
11,9.901899829374047e-05,0.11502221893253743,0.07404120015160977,0.9984496124031007,0.9992464236292196,0.9782608695652174,1.0,0.9069767441860465
12,9.86663298624003e-05,0.11582166378251256,0.07436385513869222,0.9984496124031007,0.9992464236292193,0.9782608695652174,1.0,0.9069767441860465
13,9.826044551386744e-05,0.12986422146229565,0.07108780273782048,0.9984496124031008,0.9992464236292196,0.9836065573770492,1.0,0.9302325581395349
14,9.780178907671789e-05,0.11709492916581063,0.07093184168761202,0.9984496124031008,0.9992464236292196,0.9782608695652174,1.0,0.9069767441860465
15,9.729086208503174e-05,0.12106649210296618,0.0716179465630106,0.9984496124031008,0.9992464236292196,0.9782608695652174,1.0,0.9069767441860465
16,9.672822322997305e-05,0.1001681702703122,0.08065135059632966,0.9984496124031007,0.9992464236292196,0.967741935483871,1.0,0.8604651162790697
17,9.611448774886926e-05,0.11638179436264535,0.07131305119109932,0.9984496124031007,0.9992464236292196,0.9782608695652174,1.0,0.9069767441860465
