epoch,lr,train_loss,val_loss,val_auc,val_auprc,val_f1,val_sensitivity,val_specificity
1,2.8e-05,0.26092956880638046,0.08039786712005571,1.0,1.0,0.994475138121547,1.0,0.9767441860465116
2,4.6e-05,0.14370545473075866,0.07327239353266962,1.0,1.0,0.9782608695652174,1.0,0.9069767441860465
3,6.4e-05,0.13662765869588106,0.071978482871501,1.0,1.0,0.9782608695652174,1.0,0.9069767441860465
4,8.2e-05,0.13152556161130943,0.07264952871665065,1.0,1.0,0.989010989010989,1.0,0.9534883720930233
5,0.0001,0.1352786996243567,0.08864015761228726,0.9997416020671834,0.9998778998778999,0.967741935483871,1.0,0.8604651162790697
6,9.997266286704631e-05,0.11922672206398834,0.07268577868469064,0.9997416020671834,0.9998778998778999,0.9782608695652174,1.0,0.9069767441860465
7,9.989068136093873e-05,0.11077257939572786,0.05950613183292323,1.0,1.0,0.9782608695652174,1.0,0.9069767441860465
8,9.975414512725057e-05,0.12052220944989725,0.0628049849204163,1.0,1.0,0.989010989010989,1.0,0.9534883720930233
9,9.956320346634876e-05,0.11857793213639904,0.05825472124388963,1.0,1.0,0.9782608695652174,1.0,0.9069767441860465
10,9.931806517013612e-05,0.11048163213268743,0.06767612830708492,1.0,1.0,0.972972972972973,1.0,0.8837209302325582
11,9.901899829374047e-05,0.11311380560993797,0.060804333906564874,1.0,1.0,0.9782608695652174,1.0,0.9069767441860465
12,9.86663298624003e-05,0.11041824036795964,0.060494807360614786,1.0,1.0,0.989010989010989,1.0,0.9534883720930233
13,9.826044551386744e-05,0.1219983535859698,0.06957518935357523,1.0,1.0,0.972972972972973,1.0,0.8837209302325582
14,9.780178907671789e-05,0.11274100621794839,0.060656420530202225,1.0,1.0,0.9782608695652174,1.0,0.9069767441860465
15,9.729086208503174e-05,0.1192401099594927,0.057553350386205016,1.0,1.0,0.9782608695652174,1.0,0.9069767441860465
16,9.672822322997305e-05,0.11448430407278432,0.07775767543097657,0.9997416020671834,0.9998778998778999,0.972972972972973,1.0,0.8837209302325582
