mean_predicted_probability,fraction_of_positives
0.07207234700520833,0.0
0.15404510498046875,0.125
0.242584228515625,0.0
0.33892822265625,0.25
0.44771902901785715,0.2857142857142857
0.5435546875,0.0
0.643798828125,0.5
0.7495930989583334,0.5
0.851171875,0.7
0.9913346354166667,0.9733333333333334
